s-image src,LINK,DESCRIPTION,RATING,REVIEW,OFFER PRICE,ACTUAL PRIC,DISCOUNT
https://m.media-amazon.com/images/I/61N8B32dFVL._AC_UY218_.jpg,https://www.amazon.in/s?k=bags,"URBAN TRIBE Havana 15.6"" inch Laptop Backpack for Men and Women | 27L Office/Work/Casual Bag | Water Repellent | Black",3.9 out of 5 stars,684,? 998.00,"RS 1,299",(23% off)
https://m.media-amazon.com/images/I/61WcspQTk2L._AC_UY218_.jpg,https://www.amazon.in/s?k=bags,Northzone Boy's & Girl's Waterproof Material 34 Litres Sport School College Laptop Backpack With USB Charging - Laptop size upto 15.6 inches Capacity - upto 35 Ltrs ( Black),3.8 out of 5 stars,62,? 712.00,"RS 2,499",(72% off)
https://m.media-amazon.com/images/I/81KEKEDFUcL._AC_UY218_.jpg,https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M,American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK),4.1 out of 5 stars,"51,370","? 1,299.00","RS 2,300",(44% off)
https://m.media-amazon.com/images/I/811AxL+qTpL._AC_UY218_.jpg,https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_4?,Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),4.3 out of 5 stars,"9,226",? 565.00,"RS 1,199",(53% off)
https://m.media-amazon.com/images/I/810s53kR8tL._AC_UY218_.jpg,https://www.amazon.in/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_5?,Skybags Brat Black 46 Cms Casual Backpack,4.1 out of 5 stars,"3,368",? 669.00,"RS 2,100",(68% off)
https://m.media-amazon.com/images/I/91l1HMIFTtL._AC_UY218_.jpg,https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF/ref=sr_1_6?,ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue),3.9 out of 5 stars,462,? 499.00,"RS 1,799",(72% off)
https://m.media-amazon.com/images/I/51LoviZ7+aL._AC_UY218_.jpg,https://www.amazon.in/Safari-Backpack-Resistant-Polyester-Travelling/dp/B09B29F66W/ref=sr_1_7?,"Safari Flash Casual Backpack, 26 ltr Water Resistant Travel Bags| Weight Polyester Bagpack for Men and Women, Spacious Shoulder Bag for College, Office, Travelling and Camping",3.9 out of 5 stars,"2,184",? 699.00,"RS 2,599",(73% off)
https://m.media-amazon.com/images/I/81cB0YABm3L._AC_UY218_.jpg,https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B07K8KLB3P/ref=sr_1_8?,"Wesley Unisex Milestone Casual Waterproof Laptop Office School College Business Travel Backpack 25 L (Dimensions: 12.5x18 inches) (Compatible with 15.6 inch laptops), Navy Blue",4.3 out of 5 stars,"12,103",? 498.00,"RS 1,199",(58% off)
https://m.media-amazon.com/images/I/71edjA10hZL._AC_UY218_.jpg,https://www.amazon.in/Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8/ref=sr_1_9?,"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)",4.1 out of 5 stars,"7,630",? 349.00,RS 499,(30% off)
https://m.media-amazon.com/images/I/71-8gqDAalL._AC_UY218_.jpg,https://www.amazon.in/FUR-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5/ref=sr_1_10?,Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,4.3 out of 5 stars,"5,318",? 889.00,"RS 4,000",(78% off)
